Weight,Height,BodyTypeID,Preferred Foot,Weak Foot,Body Type
72.1065,173.736,0,Left,4,normal
82.9905,188.976,1,Right,4,Lean
68.025,179.832,2,Right,5,Courtois
76.188,195.072,3,Right,3,Lean
69.839,155.7528,4,Right,5,Normal
73.9205,176.784,5,Right,4,Normal
66.211,176.784,6,Right,4,Lean
86.165,182.88,7,Right,4,Normal
82.0835,182.88,8,Right,3,Normal
87.072,188.976,9,Right,3,Normal
79.816,182.88,10,Right,4,Normal
76.188,182.88,11,Right,5,Normal
78.002,188.976,12,Right,3,Lean
67.118,176.784,13,Left,2,Normal
72.1065,170.688,14,Right,3,Lean
74.8275,155.448,15,Left,3,Normal
88.886,188.976,16,Right,4,Normal
73.0135,179.832,17,Left,3,Lean
84.8045,188.976,18,Right,4,Normal
96.142,201.168,19,Left,2,Courtois
76.188,188.976,20,Right,3,Lean
77.095,185.928,21,Right,4,Lean
92.0605,195.072,22,Right,4,Normal
69.839,176.784,23,Right,4,Stocky
84.8045,188.976,24,Left,3,Normal
73.0135,155.448,25,Right,4,Lean
71.1995,179.832,26,Left,3,PLAYER_BODY_TYPE_25
83.8975,185.928,27,Right,3,Normal
78.002,155.7528,28,Left,3,Normal
58.955,164.592,29,Right,3,Normal
78.909,179.832,30,Right,3,Normal
76.188,155.7528,31,Right,5,Lean
68.025,176.784,32,Right,4,Normal
79.816,188.976,33,Right,4,Lean
92.0605,192.024,34,Right,3,Normal
79.816,179.832,35,Left,4,Normal
82.0835,185.928,36,Left,3,Lean
82.0835,188.976,37,Left,1,Lean
88.886,185.928,38,Right,4,Normal
82.0835,182.88,39,Right,3,Normal
92.0605,195.072,40,Right,2,Normal
92.0605,195.072,41,Right,2,Normal
74.8275,182.88,42,Left,3,Normal
74.8275,155.7528,43,Right,4,Normal
88.886,188.976,44,Right,3,Normal
83.8975,195.072,45,Right,4,Normal
79.816,185.928,46,Right,3,Normal
93.8745,192.024,47,Left,3,Stocky
84.8045,185.928,48,Right,4,Normal
68.025,173.736,49,Left,3,Normal
60.769,173.736,50,Right,4,Normal
86.165,188.976,51,Left,3,Normal
78.909,182.88,52,Right,5,Normal
78.002,182.88,53,Right,3,Normal
84.8045,195.072,54,Right,3,Normal
74.8275,182.88,55,Left,3,Lean
63.9435,176.784,56,Left,3,Lean
86.165,188.976,57,Left,3,Normal
68.932,179.832,58,Right,4,Lean
92.0605,195.072,59,Right,3,Normal
68.932,173.736,60,Right,3,Lean
76.188,155.7528,61,Right,4,Lean
81.1765,192.024,62,Right,3,Lean
59.862,167.64,63,Right,4,Normal
79.816,155.7528,64,Left,3,Normal
69.839,176.784,65,Left,3,Normal
74.8275,185.928,66,Right,4,Lean
69.839,179.832,67,Right,3,Normal
71.1995,155.7528,68,Right,4,Lean
76.188,155.448,69,Right,3,Normal
84.8045,192.024,70,Right,3,Lean
81.1765,185.928,71,Right,3,Normal
72.1065,155.448,72,Right,4,Normal
93.8745,188.976,73,Right,3,Normal
76.188,155.7528,74,Left,2,Lean
67.118,155.448,75,Right,4,Lean
68.025,173.736,76,Right,4,Normal
79.816,188.976,77,Right,4,Normal
76.188,192.024,78,Right,4,Normal
76.188,182.88,79,Left,3,Normal
74.8275,176.784,80,Left,3,Stocky
91.1535,192.024,81,Right,3,Normal
69.839,179.832,82,Right,4,Lean
77.095,182.88,83,Left,4,Lean
67.118,155.448,84,Left,4,Lean
76.188,155.7528,85,Left,4,Lean
73.9205,179.832,86,Right,4,Normal
73.0135,179.832,87,Right,4,Normal
82.9905,188.976,88,Right,2,Normal
81.1765,182.88,89,Right,3,Normal
73.9205,182.88,90,Right,4,Lean
71.1995,182.88,91,Right,3,Lean
89.793,198.12,92,Right,3,Lean
73.9205,173.736,93,Right,3,Normal
66.211,179.832,94,Right,3,Normal
89.793,195.072,95,Right,4,Stocky
74.8275,155.7528,96,Right,4,Normal
79.816,185.928,97,Right,5,Lean
83.8975,195.072,98,Right,5,Lean
89.793,188.976,99,Right,4,Normal
86.165,188.976,100,Right,4,Normal
77.095,179.832,101,Right,3,Stocky
91.1535,201.168,102,Right,4,Lean
