Club,Jersey Number,ClubID,Position
FC Barcelona,10,0,RF
Juventus,7,1,ST
Paris Saint-Germain,10,2,LW
Manchester United,1,3,GK
Manchester City,7,4,RCM
Chelsea,10,5,LF
Real Madrid,10,6,RCM
FC Barcelona,9,7,RS
Real Madrid,15,8,RCB
Atlético Madrid,1,9,GK
FC Bayern München,9,10,ST
Real Madrid,8,11,LCM
Atlético Madrid,10,12,CB
Manchester City,21,13,LCM
Chelsea,13,14,LDM
Juventus,21,15,LF
Tottenham Hotspur,9,16,ST
Atlético Madrid,7,17,CAM
FC Barcelona,22,18,GK
Real Madrid,1,19,GK
FC Barcelona,5,20,CDM
Paris Saint-Germain,21,21,LS
FC Bayern München,1,22,GK
Manchester City,10,23,ST
Juventus,3,24,LCB
Paris Saint-Germain,10,25,RM
Liverpool,10,26,RM
Real Madrid,14,27,CDM
FC Bayern München,10,28,LAM
Napoli,10,29,LW
Real Madrid,22,30,LW
Tottenham Hotspur,10,31,CAM
FC Barcelona,7,32,LW
Arsenal,14,33,LM
FC Bayern München,5,34,LCB
Real Madrid,12,35,LB
Real Madrid,11,36,ST
Tottenham Hotspur,1,37,GK
Milan,9,38,LS
Paris Saint-Germain,2,39,RCB
Inter,1,40,GK
Paris Saint-Germain,1,41,GK
FC Barcelona,23,42,CB
Inter,9,43,ST
Napoli,26,44,LCB
Manchester United,6,45,RDM
Real Madrid,1,46,GK
Manchester United,9,47,ST
Lazio,17,48,ST
FC Barcelona,18,49,LB
Napoli,14,50,RF
Tottenham Hotspur,5,51,LCB
Napoli,17,52,LCM
FC Barcelona,4,53,RCM
FC Barcelona,3,54,RCB
Manchester City,19,55,LW
Manchester City,11,56,RW
Manchester City,31,57,GK
Liverpool,10,58,LM
Liverpool,4,59,LCB
Manchester City,10,60,RW
Liverpool,9,61,CAM
Real Madrid,4,62,RCB
Paris Saint-Germain,6,63,LCM
Juventus,12,64,LB
Juventus,11,65,LM
FC Bayern München,13,66,CAM
FC Bayern München,19,67,CM
Borussia Dortmund,11,68,LM
Chelsea,14,69,RB
Juventus,19,70,RCB
Tottenham Hotspur,2,71,RCB
Juventus,5,72,CDM
Juventus,4,73,CB
Arsenal,10,74,CAM
Manchester City,25,75,CDM
Vissel Kobe,8,76,LF
Inter,37,77,LCB
Lazio,21,78,CM
Real Madrid,10,79,RW
Olympique Lyonnais,18,80,CAM
Liverpool,13,81,GK
FC Bayern München,18,82,RCM
Atlético Madrid,6,83,RCM
Manchester City,26,84,RW
FC Bayern München,8,85,LB
Atlético Madrid,8,86,LM
Arsenal,9,87,ST
Roma,4,88,LCB
Manchester City,30,89,CB
Valencia CF,10,90,RCM
Guangzhou Evergrande Taobao FC,9,91,LDM
Juventus,1,92,GK
Manchester United,7,93,RW
FC Porto,8,94,LM
FC Bayern München,17,95,RCB
FC Barcelona,8,96,CAM
Inter,44,97,LM
Roma,9,98,ST
Juventus,6,99,RCM
Atlético Madrid,19,100,LS
Inter,14,101,CAM
FC Schalke 04,29,102,CB
Juventus,14,103,LM
Inter,23,104,CB
Real Madrid,9,105,ST
Atlético Madrid,3,106,LB
Manchester City,4,107,CB
Be?ikta? JK,3,108,RCB
LA Galaxy,9,109,RS
Tottenham Hotspur,23,110,RCB
Atlético Madrid,24,111,RCB
FC Porto,13,112,LB
Manchester City,14,113,LCB
Sporting CP,8,114,LCM
FC Bayern München,15,115,CB
Manchester United,11,116,LW
Tottenham Hotspur,20,117,LCM
Liverpool,3,118,CDM
Paris Saint-Germain,5,119,LDM
Real Betis,14,120,CDM
Chelsea,8,121,CM
Olympique de Marseille,20,122,RM
Real Madrid,2,123,RB
Olympique Lyonnais,10,124,ST
Tottenham Hotspur,7,125,LM
Olympique Lyonnais,1,126,GK
Inter,14,127,CB
Juventus,22,128,GK
Juventus,11,129,RAM
RC Celta,17,130,ST
Arsenal,12,131,GK
Manchester United,31,132,CDM
Bayer 04 Leverkusen,1,133,GK
Real Sociedad,4,134,RDM
Manchester City,2,135,RB
Manchester City,21,136,CM
Napoli,7,137,RM
Paris Saint-Germain,11,138,RM
Juventus,17,139,ST
Chelsea,22,140,RW
Villarreal CF,1,141,GK
Sevilla FC,10,142,CDM
Borussia Dortmund,6,143,LCM
Olympique de Marseille,18,144,CAM
SL Benfica,10,145,ST
Arsenal,19,146,RCB
