ID,PlayerID,Name,Age,Nationality,International Reputation,Jersey Number
0,158023,L. Messi,31,Argentina,5,10
1,20801,Cristiano Ronaldo,33,Portugal,5,7
2,190871,Neymar Jr,26,Brazil,5,10
3,193080,De Gea,27,Spain,4,1
4,192985,K. De Bruyne,27,Belgium,4,7
5,183277,E. Hazard,27,Belgium,4,10
6,177003,L. Modri?,32,Croatia,4,10
7,176580,L. Suárez,31,Uruguay,5,9
8,155862,Sergio Ramos,32,Spain,4,15
9,200389,J. Oblak,25,Slovenia,3,1
10,188545,R. Lewandowski,29,Poland,4,9
11,182521,T. Kroos,28,Germany,4,8
12,182493,D. Godín,32,Uruguay,3,10
13,168542,David Silva,32,Spain,4,21
14,215914,N. Kanté,27,France,3,13
15,211110,P. Dybala,24,Argentina,3,21
16,202126,H. Kane,24,England,3,9
17,194765,A. Griezmann,27,France,4,7
18,192448,M. ter Stegen,26,Germany,3,22
19,192119,T. Courtois,26,Belgium,4,1
20,189511,Sergio Busquets,29,Spain,4,5
21,179813,E. Cavani,31,Uruguay,4,21
22,167495,M. Neuer,32,Germany,5,1
23,153079,S. Agüero,30,Argentina,4,10
24,138956,G. Chiellini,33,Italy,4,3
25,231747,K. Mbappé,19,France,3,10
26,209331,M. Salah,26,Egypt,3,10
27,200145,Casemiro,26,Brazil,3,14
28,198710,J. Rodríguez,26,Colombia,4,10
29,198219,L. Insigne,27,Italy,3,10
30,197781,Isco,26,Spain,3,22
31,190460,C. Eriksen,26,Denmark,3,10
32,189242,Coutinho,26,Brazil,3,7
33,188567,P. Aubameyang,29,Gabon,3,14
34,178603,M. Hummels,29,Germany,4,5
35,176676,Marcelo,30,Brazil,4,12
36,173731,G. Bale,28,Wales,4,11
37,167948,H. Lloris,31,France,4,1
38,167664,G. Higuaín,30,Argentina,4,9
39,164240,Thiago Silva,33,Brazil,4,2
40,162835,S. Handanovi?,33,Slovenia,3,1
41,1179,G. Buffon,40,Italy,4,1
42,205600,S. Umtiti,24,France,3,23
43,201399,M. Icardi,25,Argentina,3,9
44,201024,K. Koulibaly,27,Senegal,3,26
45,195864,P. Pogba,25,France,4,6
46,193041,K. Navas,31,Costa Rica,3,1
47,192505,R. Lukaku,25,Belgium,3,9
48,192387,C. Immobile,28,Italy,3,17
49,189332,Jordi Alba,29,Spain,3,18
50,175943,D. Mertens,31,Belgium,3,14
51,172871,J. Vertonghen,31,Belgium,3,5
52,171877,M. Hamšík,30,Slovakia,3,17
53,168651,I. Rakiti?,30,Croatia,4,4
54,152729,Piqué,31,Spain,4,3
55,222492,L. Sané,22,Germany,2,19
56,218667,Bernardo Silva,23,Portugal,2,11
57,210257,Ederson,24,Brazil,2,31
58,208722,S. Mané,26,Senegal,3,10
59,203376,V. van Dijk,26,Netherlands,3,4
60,202652,R. Sterling,23,England,3,10
61,201942,Roberto Firmino,26,Brazil,3,9
62,201535,R. Varane,25,France,3,4
63,199556,M. Verratti,25,Italy,3,6
64,191043,Alex Sandro,27,Brazil,3,12
65,190483,Douglas Costa,27,Brazil,3,11
66,189596,T. Müller,28,Germany,4,13
67,189509,Thiago,27,Spain,3,19
68,188350,M. Reus,29,Germany,4,11
69,184432,Azpilicueta,28,Spain,3,14
70,184344,L. Bonucci,31,Italy,3,19
71,184087,T. Alderweireld,29,Belgium,3,2
72,180206,M. Pjani?,28,Bosnia Herzegovina,3,5
73,177509,M. Benatia,31,Morocco,3,4
74,176635,M. Özil,29,Germany,4,10
75,135507,Fernandinho,33,Brazil,3,25
76,41,Iniesta,34,Spain,4,8
77,232363,M. Škriniar,23,Slovakia,1,37
