Volleys,Dribbling,ID,Balance,Skill Moves,Work Rate
86,97,0,95,4,Medium/ Medium
87,88,1,70,5,High/ Low
84,96,2,84,5,High/ Medium
13,18,3,43,1,Medium/ Medium
82,86,4,77,4,High/ High
80,95,5,94,4,High/ Medium
76,90,6,94,4,High/ High
88,87,7,83,3,High/ Medium
66,63,8,66,3,High/ Medium
13,12,9,49,1,Medium/ Medium
89,85,10,78,4,High/ Medium
82,81,11,71,3,Medium/ Medium
47,53,12,54,2,Medium/ High
82,89,13,90,4,High/ Medium
56,79,14,92,2,Medium/ High
88,92,15,85,4,High/ Medium
84,80,16,71,3,High/ High
87,88,17,80,4,High/ High
14,17,18,43,1,Medium/ Medium
12,13,19,45,1,Medium/ Medium
44,80,20,52,3,Medium/ Medium
90,80,21,59,3,High/ High
11,30,22,35,1,Medium/ Medium
85,89,23,91,4,High/ Medium
45,58,24,55,2,Medium/ High
78,90,25,83,5,High/ Medium
73,89,26,88,4,High/ Medium
53,69,27,66,2,Medium/ High
90,85,28,76,4,Medium/ Medium
74,90,29,93,4,High/ Medium
65,94,30,90,4,High/ Medium
77,84,31,81,4,High/ Medium
75,91,32,93,5,High/ High
86,79,33,70,4,Medium/ Low
60,68,34,60,3,High/ Medium
54,90,35,86,5,High/ Low
85,87,36,65,4,High/ Medium
11,10,37,54,1,Medium/ Medium
90,84,38,69,3,High/ Medium
63,62,39,68,2,Medium/ High
12,12,40,36,1,Medium/ Medium
17,26,41,49,1,Medium/ Medium
70,69,42,66,2,Medium/ High
85,77,43,76,3,Medium/ Low
14,66,44,40,2,High/ High
85,87,45,64,5,High/ Low
11,16,46,61,1,Medium/ Medium
79,80,47,46,3,Medium/ Medium
87,83,48,63,3,High/ Medium
60,80,49,85,3,High/ Medium
70,91,50,92,4,High/ Low
52,71,51,60,3,High/ High
79,86,52,66,3,High/ Medium
80,84,53,66,3,High/ High
57,59,54,36,2,High/ Medium
85,88,55,81,4,High/ Medium
69,92,56,88,4,High/ Medium
18,23,57,48,1,Medium/ Medium
71,87,58,86,4,High/ Medium
45,70,59,49,2,Medium/ Medium
67,88,60,93,4,High/ Medium
81,87,61,81,4,High/ High
42,57,62,40,2,Medium/ High
64,90,63,94,4,Medium/ High
68,80,64,78,3,High/ High
76,92,65,91,5,High/ Medium
84,75,66,72,3,High/ High
90,90,67,86,5,Medium/ Medium
