Left Wing,Center Back,Center Forward,Left Back,Right Back
92+2,47+2,93+2,59+2,59+2
89+3,53+3,90+3,61+3,61+3
89+3,47+3,89+3,60+3,60+3
87+3,66+3,87+3,73+3,73+3
89+3,49+3,88+3,60+3,60+3
85+3,71+3,84+3,79+3,79+3
86+5,63+5,87+5,66+5,66+5
70+3,87+3,71+3,84+3,84+3
83+3,57+3,86+3,58+3,58+3
81+3,72+3,82+3,77+3,77+3
61+3,87+3,62+3,79+3,79+3
85+3,57+3,84+3,64+3,64+3
77+3,83+3,77+3,84+3,84+3
87+3,45+3,86+3,56+3,56+3
82+3,60+3,84+3,62+3,62+3
87+3,61+3,87+3,67+3,67+3
74+3,82+3,76+3,78+3,78+3
81+3,63+3,83+3,65+3,65+3
86+3,47+3,87+3,53+3,53+3
54+3,86+3,55+3,77+3,77+3
87+3,54+3,87+3,62+3,62+3
87+3,57+3,86+3,66+3,66+3
69+3,85+3,73+3,79+3,79+3
84+3,58+3,83+3,65+3,65+3
86+3,44+3,85+3,58+3,58+3
84+3,63+3,83+3,68+3,68+3
84+3,57+3,84+3,66+3,66+3
86+3,58+3,85+3,67+3,67+3
83+3,52+3,83+3,61+3,61+3
68+3,85+3,69+3,80+3,80+3
84+3,81+3,83+3,84+3,84+3
86+3,67+3,86+3,71+3,71+3
81+3,48+3,83+3,51+3,51+3
66+3,84+3,67+3,80+3,80+3
69+3,84+3,69+3,81+3,81+3
76+3,51+3,81+3,52+3,52+3
51+3,84+3,52+3,75+3,75+3
82+3,74+3,82+3,75+3,75+3
79+3,54+3,81+3,57+3,57+3
79+3,55+3,82+3,58+3,58+3
81+3,78+3,79+3,84+3,84+3
86+3,46+3,85+3,60+3,60+3
68+3,84+3,69+3,80+3,80+3
82+3,72+3,83+3,75+3,75+3
80+3,70+3,81+3,75+3,75+3
64+3,83+3,66+3,77+3,77+3
84+2,52+2,84+2,61+2,61+2
84+2,53+2,82+2,63+2,63+2
84+3,55+3,84+3,62+3,62+3
65+3,85+3,66+3,78+3,78+3
84+3,52+3,83+3,66+3,66+3
83+3,67+3,84+3,69+3,69+3
61+3,83+3,63+3,78+3,78+3
78+3,76+3,77+3,78+3,78+3
77+3,81+3,75+3,83+3,83+3
85+3,53+3,83+3,64+3,64+3
81+3,59+3,82+3,66+3,66+3
82+3,67+3,81+3,73+3,73+3
85+3,54+3,85+3,64+3,64+3
71+3,83+3,70+3,84+3,84+3
63+3,84+3,65+3,76+3,76+3
65+3,84+3,66+3,79+3,79+3
79+3,73+3,78+3,76+3,76+3
57+3,84+3,58+3,75+3,75+3
82+3,40+3,81+3,52+3,52+3
75+3,81+3,76+3,79+3,79+3
82+3,63+3,81+3,68+3,68+3
56+2,83+2,57+2,76+2,76+2
79+2,79+2,81+2,76+2,76+2
83+3,51+3,83+3,62+3,62+3
84+3,50+3,83+3,57+3,57+3
79+3,77+3,78+3,80+3,80+3
79+3,78+3,81+3,78+3,78+3
84+3,47+3,82+3,57+3,57+3
78+3,79+3,78+3,82+3,82+3
81+3,70+3,81+3,73+3,73+3
81+3,54+3,83+3,59+3,59+3
49+3,83+3,48+3,76+3,76+3
59+3,82+3,61+3,74+3,74+3
77+2,69+2,77+2,71+2,71+2
79+3,80+3,81+3,78+3,78+3
82+3,57+3,82+3,62+3,62+3
83+3,48+3,81+3,59+3,59+3
63+3,83+3,64+3,78+3,78+3
76+3,83+3,78+3,80+3,80+3
82+3,68+3,82+3,72+3,72+3
77+3,55+3,80+3,56+3,56+3
76+3,81+3,78+3,77+3,77+3
76+3,61+3,79+3,59+3,59+3
80+3,81+3,81+3,83+3,83+3
62+3,82+3,66+3,75+3,75+3
76+3,81+3,76+3,82+3,82+3
61+3,83+3,62+3,76+3,76+3
81+3,49+3,82+3,53+3,53+3
75+3,80+3,74+3,82+3,82+3
60+3,83+3,61+3,75+3,75+3
58+3,82+3,59+3,74+3,74+3
77+4,52+4,80+4,51+4,51+4
59+2,82+2,60+2,76+2,76+2
51+2,83+2,51+2,74+2,74+2
79+3,78+3,78+3,82+3,82+3
